2022-09-11 15:09:407 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:770 INFO  StartPage :102 - Clicking on the 'DentalPractice: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-wales']]
2022-09-11 15:09:700 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:728 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:35 INFO  StartPage :91 - Clicking on the 'YesButton' button: Proxy element for: DefaultElementLocator 'By.xpath: //label[@id='label-wales']'
2022-09-11 15:09:666 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:09 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:269 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:686 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:965 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:312 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:57 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:423 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:538 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:952 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:45 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:164 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:843 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:09 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:853 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (bd34ccf5f8b52e4ce5a42fa3d4a7b6ff)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:271 INFO  StartPage :65 - get Text From Help With nhs CostsProxy element for: DefaultElementLocator 'By.xpath: /body/main[@id='content']/div[3]/div[1]/div[1]/h2[1]'
2022-09-11 15:09:648 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 15:09:812 INFO  StartPage :70 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 15:09:975 INFO  StartPage :75 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> id: next-button]
2022-09-11 15:09:386 INFO  StartPage :86 - Clicking on the 'WalesCountry' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-wales']]
2022-09-11 15:09:238 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:505 INFO  StartPage :91 - Clicking on the 'YesButton' button: Proxy element for: DefaultElementLocator 'By.xpath: //label[@id='label-wales']'
2022-09-11 15:09:880 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:128 INFO  StartPage :102 - Clicking on the 'DentalPractice: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-wales']]
2022-09-11 15:09:646 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:924 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:301 INFO  StartPage :91 - Clicking on the 'YesButton' button: Proxy element for: DefaultElementLocator 'By.xpath: //label[@id='label-wales']'
2022-09-11 15:09:392 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:640 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:338 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:531 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:303 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:451 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:173 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:317 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:991 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:137 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:238 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:372 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:126 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:291 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:86 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (d393300e3075e4aa96a69b0a1d337815)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:179 INFO  StartPage :65 - get Text From Help With nhs CostsProxy element for: DefaultElementLocator 'By.xpath: //body/main[@id='content']/div[3]/div[1]/div[1]/h2[1]'
2022-09-11 15:09:217 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-11 15:09:85 INFO  StartPage :70 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-11 15:09:951 INFO  StartPage :75 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> id: next-button]
2022-09-11 15:09:97 INFO  StartPage :86 - Clicking on the 'WalesCountry' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-wales']]
2022-09-11 15:09:789 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:00 INFO  StartPage :91 - Clicking on the 'YesButton' button: Proxy element for: DefaultElementLocator 'By.xpath: //label[@id='label-wales']'
2022-09-11 15:09:888 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:157 INFO  StartPage :102 - Clicking on the 'DentalPractice: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-wales']]
2022-09-11 15:09:221 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:569 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:183 INFO  StartPage :91 - Clicking on the 'YesButton' button: Proxy element for: DefaultElementLocator 'By.xpath: //label[@id='label-wales']'
2022-09-11 15:09:614 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:705 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:142 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:237 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:776 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
2022-09-11 15:09:965 INFO  StartPage :97 - Clicking on the 'noButton' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //label[@id='label-no']]
2022-09-11 15:09:617 INFO  StartPage :80 - Clicking on the 'liveinpage' button: [[ChromeDriver: chrome on WINDOWS (e2084fde32126364f4060b9d314efa5e)] -> xpath: //input[@id='next-button']]
